2024-08-23T15:11:38.674Z: 291.33648002147675ms
2024-08-23T15:11:38.937Z: 258.0950119793415ms
2024-08-23T15:11:39.206Z: 268.15565198659897ms
2024-08-23T15:11:39.466Z: 258.45018899440765ms
2024-08-23T15:11:39.749Z: 279.57894998788834ms
2024-08-23T15:11:40.003Z: 250.4075150191784ms
2024-08-23T15:11:40.270Z: 265.6886849999428ms
2024-08-23T15:11:40.571Z: 300.0631859898567ms
2024-08-23T15:11:40.882Z: 309.42549699544907ms
2024-08-23T15:11:41.162Z: 279.5093559920788ms
2024-08-23T15:11:41.469Z: 305.3296730220318ms
2024-08-23T15:11:41.755Z: 284.6748669743538ms
2024-08-23T15:11:42.032Z: 274.02732199430466ms
2024-08-23T15:11:42.293Z: 260.2315610051155ms
2024-08-23T15:11:42.614Z: 316.3885819911957ms
2024-08-23T15:11:42.893Z: 278.2365819811821ms
2024-08-23T15:11:43.171Z: 276.65904599428177ms
2024-08-23T15:11:43.440Z: 267.66319900751114ms
2024-08-23T15:11:43.700Z: 259.5255510210991ms
2024-08-23T15:11:43.959Z: 256.48049598932266ms
2024-08-23T15:11:44.310Z: 349.6145659983158ms
2024-08-23T15:11:44.590Z: 278.3965829908848ms
2024-08-23T15:11:44.875Z: 284.05080100893974ms
2024-08-23T15:11:45.150Z: 273.67760598659515ms
2024-08-23T15:11:45.472Z: 321.14763498306274ms
2024-08-23T15:11:45.729Z: 255.27277600765228ms
2024-08-23T15:11:46.003Z: 273.50711500644684ms
2024-08-23T15:11:46.300Z: 294.92687100172043ms
2024-08-23T15:11:46.588Z: 284.3721279799938ms
2024-08-23T15:11:46.893Z: 303.3253619968891ms
2024-08-23T15:14:43.874Z: 267.95426201820374ms
2024-08-23T15:14:44.151Z: 271.1628409922123ms
2024-08-23T15:14:44.419Z: 262.71890300512314ms
2024-08-23T15:14:44.713Z: 291.15252897143364ms
2024-08-23T15:14:44.971Z: 256.1767919957638ms
2024-08-23T15:14:45.229Z: 257.7594090104103ms
2024-08-23T15:14:45.488Z: 257.7892960011959ms
2024-08-23T15:14:45.789Z: 300.3175540268421ms
2024-08-23T15:14:46.137Z: 293.44036200642586ms
2024-08-23T15:14:46.390Z: 247.74826100468636ms
2024-08-23T15:14:46.644Z: 249.13801100850105ms
2024-08-23T15:14:46.988Z: 340.60210198163986ms
2024-08-23T15:14:47.265Z: 275.610190987587ms
2024-08-23T15:14:47.515Z: 248.69426500797272ms
2024-08-23T15:14:47.767Z: 251.11667200922966ms
2024-08-23T15:14:48.026Z: 258.3083499968052ms
2024-08-23T15:14:48.308Z: 280.4439029991627ms
2024-08-23T15:14:48.585Z: 275.2139729857445ms
2024-08-23T15:14:48.840Z: 252.8623569905758ms
2024-08-23T15:14:49.101Z: 261.01903599500656ms
2024-08-23T15:14:49.386Z: 284.85610300302505ms
2024-08-23T15:14:49.656Z: 264.3529710173607ms
2024-08-23T15:14:49.922Z: 256.2349980175495ms
2024-08-23T15:14:50.183Z: 259.46762001514435ms
2024-08-23T15:14:50.453Z: 266.4561190009117ms
2024-08-23T15:14:50.729Z: 275.0109519958496ms
2024-08-23T15:14:50.978Z: 249.0261689722538ms
2024-08-23T15:14:51.245Z: 265.7828840017319ms
2024-08-23T15:14:51.500Z: 254.58186399936676ms
2024-08-23T15:14:51.810Z: 308.1557320058346ms
2024-08-23T15:18:21.975Z: 267.55748000741005ms
2024-08-23T15:18:22.267Z: 287.31925597786903ms
2024-08-23T15:18:22.539Z: 270.79050400853157ms
2024-08-23T15:18:22.838Z: 295.4543749988079ms
2024-08-23T15:18:23.112Z: 267.87049600481987ms
2024-08-23T15:18:23.428Z: 313.20982998609543ms
2024-08-23T15:18:23.727Z: 296.18580800294876ms
2024-08-23T15:18:23.991Z: 262.1920659840107ms
2024-08-23T15:18:24.265Z: 272.89804300665855ms
2024-08-23T15:18:24.555Z: 289.5998330116272ms
2024-08-23T15:18:24.833Z: 277.0738369822502ms
2024-08-23T15:18:26.567Z: 1733.2796919941902ms
2024-08-23T15:18:26.952Z: 383.9775100052357ms
2024-08-23T15:18:28.146Z: 1193.4892759919167ms
2024-08-23T15:18:28.542Z: 394.4526119828224ms
2024-08-23T15:18:28.821Z: 277.96940100193024ms
2024-08-23T15:18:29.097Z: 275.0063390135765ms
2024-08-23T15:18:29.359Z: 260.7471179962158ms
2024-08-23T15:18:29.672Z: 310.48208302259445ms
2024-08-23T15:18:29.933Z: 260.1944580078125ms
2024-08-23T15:18:30.187Z: 252.7635490000248ms
2024-08-23T15:18:30.431Z: 243.1463370025158ms
2024-08-23T15:18:30.744Z: 312.8194740116596ms
2024-08-23T15:18:31.018Z: 271.4784930050373ms
2024-08-23T15:18:31.286Z: 267.2749229967594ms
2024-08-23T15:18:31.554Z: 266.20404401421547ms
2024-08-23T15:18:31.992Z: 431.64215898513794ms
2024-08-23T15:18:32.259Z: 265.6841150224209ms
2024-08-23T15:18:32.525Z: 264.91152000427246ms
2024-08-23T15:18:32.804Z: 278.04115599393845ms
2024-08-23T15:20:43.399Z: 305.56018099188805ms
2024-08-23T15:20:43.699Z: 288.30139300227165ms
2024-08-23T15:20:43.991Z: 291.60417902469635ms
2024-08-23T15:20:44.287Z: 288.93921199440956ms
2024-08-23T15:20:44.656Z: 365.5656540095806ms
2024-08-23T15:20:44.925Z: 267.7197750210762ms
2024-08-23T15:20:45.197Z: 270.5728879868984ms
2024-08-23T15:20:45.473Z: 275.02088302373886ms
2024-08-23T15:20:45.764Z: 288.9303719997406ms
2024-08-23T15:20:46.020Z: 254.99385899305344ms
2024-08-23T15:20:46.297Z: 275.6197620034218ms
2024-08-23T15:20:46.620Z: 308.7617509961128ms
2024-08-23T15:20:46.889Z: 264.81474897265434ms
2024-08-23T15:20:47.174Z: 281.7470299899578ms
2024-08-23T15:20:47.450Z: 276.0332550108433ms
2024-08-23T15:20:47.730Z: 278.4137020111084ms
2024-08-23T15:20:48.063Z: 332.3108699917793ms
2024-08-23T15:20:48.337Z: 273.06919398903847ms
2024-08-23T15:20:48.626Z: 287.6680029928684ms
2024-08-23T15:20:48.892Z: 265.16197100281715ms
2024-08-23T15:20:49.155Z: 261.7634470164776ms
2024-08-23T15:20:49.442Z: 285.61435398459435ms
2024-08-23T15:20:49.854Z: 407.01664102077484ms
2024-08-23T15:20:50.123Z: 261.31241500377655ms
2024-08-23T15:20:50.410Z: 285.03868597745895ms
2024-08-23T15:20:50.696Z: 283.53747299313545ms
2024-08-23T15:20:50.968Z: 271.904374986887ms
2024-08-23T15:20:51.238Z: 269.098297983408ms
2024-08-23T15:20:51.545Z: 306.4746539890766ms
2024-08-23T15:20:51.842Z: 293.74552899599075ms
2024-08-23T15:25:02.922Z: 277.10699701309204ms
2024-08-23T15:25:03.231Z: 300.4570309817791ms
2024-08-23T15:25:03.501Z: 269.0174629986286ms
2024-08-23T15:25:03.801Z: 299.78311002254486ms
2024-08-23T15:25:04.084Z: 279.05313301086426ms
2024-08-23T15:25:04.367Z: 282.636430978775ms
2024-08-23T15:25:04.709Z: 341.066408008337ms
2024-08-23T15:25:04.982Z: 271.44572201371193ms
2024-08-23T15:25:05.266Z: 282.59064400196075ms
2024-08-23T15:25:05.597Z: 329.84418299794197ms
2024-08-23T15:25:05.938Z: 339.9259549975395ms
2024-08-23T15:25:06.236Z: 295.78888499736786ms
2024-08-23T15:25:06.516Z: 278.6730979979038ms
2024-08-23T15:25:06.812Z: 294.9997169971466ms
2024-08-23T15:25:07.107Z: 293.1917890012264ms
2024-08-23T15:25:07.379Z: 270.4208909869194ms
2024-08-23T15:25:07.672Z: 292.9664439857006ms
2024-08-23T15:25:07.945Z: 271.1886750161648ms
2024-08-23T15:25:08.230Z: 284.7986190021038ms
2024-08-23T15:25:08.498Z: 266.88408598303795ms
2024-08-23T15:25:08.841Z: 341.3420319855213ms
2024-08-23T15:25:09.108Z: 265.56354999542236ms
2024-08-23T15:25:09.410Z: 300.7279929816723ms
2024-08-23T15:25:09.730Z: 318.07586801052094ms
2024-08-23T15:25:10.008Z: 276.69172900915146ms
2024-08-23T15:25:10.284Z: 274.6215159893036ms
2024-08-23T15:25:10.576Z: 291.36958000063896ms
2024-08-23T15:25:10.864Z: 287.22663700580597ms
2024-08-23T15:25:11.143Z: 278.79927602410316ms
2024-08-23T15:25:11.402Z: 257.0131150186062ms
