2024-08-23T15:11:11.374Z: 2162.233844012022ms
2024-08-23T15:11:12.924Z: 1484.5652709901333ms
2024-08-23T15:11:14.038Z: 1108.4492110013962ms
2024-08-23T15:11:17.540Z: 3497.880706012249ms
2024-08-23T15:11:20.555Z: 3001.803654998541ms
2024-08-23T15:11:22.900Z: 2340.6424919962883ms
2024-08-23T15:11:23.948Z: 1035.5375710129738ms
2024-08-23T15:11:26.902Z: 2944.712924003601ms
2024-08-23T15:11:29.082Z: 2142.51687797904ms
2024-08-23T15:11:32.032Z: 2949.1879520118237ms
2024-08-23T15:11:32.445Z: 283.4040230214596ms
2024-08-23T15:11:32.733Z: 287.5577149987221ms
2024-08-23T15:11:33.019Z: 284.96815299987793ms
2024-08-23T15:11:33.348Z: 327.66626700758934ms
2024-08-23T15:11:33.629Z: 279.52927699685097ms
2024-08-23T15:11:33.906Z: 274.09231397509575ms
2024-08-23T15:11:34.229Z: 320.0447990000248ms
2024-08-23T15:11:34.535Z: 303.81747099757195ms
2024-08-23T15:11:34.934Z: 362.1861919760704ms
2024-08-23T15:11:35.252Z: 299.3597300052643ms
2024-08-23T15:11:35.574Z: 320.5302149951458ms
2024-08-23T15:11:35.884Z: 305.1764920055866ms
2024-08-23T15:11:36.193Z: 289.47251799702644ms
2024-08-23T15:11:36.639Z: 443.7211740016937ms
2024-08-23T15:11:36.915Z: 274.428896009922ms
2024-08-23T15:11:37.214Z: 297.7948289811611ms
2024-08-23T15:11:37.496Z: 280.45047801733017ms
2024-08-23T15:11:37.818Z: 321.1856960058212ms
2024-08-23T15:11:38.096Z: 277.1145170032978ms
2024-08-23T15:11:38.382Z: 285.345683991909ms
2024-08-23T15:14:29.619Z: 291.49450901150703ms
2024-08-23T15:14:29.949Z: 288.18622598052025ms
2024-08-23T15:14:31.675Z: 1724.5760129988194ms
2024-08-23T15:14:33.221Z: 1540.5780990123749ms
2024-08-23T15:14:33.552Z: 324.3609530031681ms
2024-08-23T15:14:33.843Z: 289.3601000010967ms
2024-08-23T15:14:34.130Z: 285.1727850139141ms
2024-08-23T15:14:34.427Z: 296.2944969832897ms
2024-08-23T15:14:34.704Z: 275.20963501930237ms
2024-08-23T15:14:35.052Z: 328.44727900624275ms
2024-08-23T15:14:35.360Z: 293.31249901652336ms
2024-08-23T15:14:35.648Z: 286.93749698996544ms
2024-08-23T15:14:35.946Z: 297.19305700063705ms
2024-08-23T15:14:36.295Z: 345.8921230137348ms
2024-08-23T15:14:36.585Z: 289.2140149772167ms
2024-08-23T15:14:36.956Z: 370.6800200045109ms
2024-08-23T15:14:37.270Z: 313.8233480155468ms
2024-08-23T15:14:37.578Z: 297.80948999524117ms
2024-08-23T15:14:37.884Z: 297.34341698884964ms
2024-08-23T15:14:38.173Z: 288.5101020038128ms
2024-08-23T15:14:39.858Z: 1681.182464003563ms
2024-08-23T15:14:40.300Z: 439.9546229839325ms
2024-08-23T15:14:41.473Z: 1172.062718987465ms
2024-08-23T15:14:41.791Z: 318.0778650045395ms
2024-08-23T15:14:42.179Z: 387.48782700300217ms
2024-08-23T15:14:42.463Z: 281.54228499531746ms
2024-08-23T15:14:42.752Z: 287.48634600639343ms
2024-08-23T15:14:43.057Z: 286.09654000401497ms
2024-08-23T15:14:43.319Z: 260.83462899923325ms
2024-08-23T15:14:43.605Z: 285.4631749987602ms
2024-08-23T15:18:12.764Z: 298.57529601454735ms
2024-08-23T15:18:13.037Z: 270.5104670226574ms
2024-08-23T15:18:13.400Z: 361.945346981287ms
2024-08-23T15:18:13.736Z: 334.5202319920063ms
2024-08-23T15:18:14.011Z: 271.60047098994255ms
2024-08-23T15:18:14.307Z: 288.64292100071907ms
2024-08-23T15:18:14.676Z: 362.23392900824547ms
2024-08-23T15:18:14.957Z: 278.3838990032673ms
2024-08-23T15:18:15.244Z: 286.71993800997734ms
2024-08-23T15:18:15.527Z: 281.58136799931526ms
2024-08-23T15:18:15.825Z: 292.1892440021038ms
2024-08-23T15:18:16.129Z: 301.1199719905853ms
2024-08-23T15:18:16.415Z: 281.87691700458527ms
2024-08-23T15:18:16.742Z: 314.41088700294495ms
2024-08-23T15:18:17.051Z: 277.4452590048313ms
2024-08-23T15:18:17.357Z: 305.330825984478ms
2024-08-23T15:18:17.665Z: 306.38835498690605ms
2024-08-23T15:18:17.938Z: 268.4545020163059ms
2024-08-23T15:18:18.241Z: 301.7141939997673ms
2024-08-23T15:18:18.778Z: 533.8476120233536ms
2024-08-23T15:18:19.078Z: 293.05606800317764ms
2024-08-23T15:18:19.374Z: 294.4880110025406ms
2024-08-23T15:18:19.707Z: 326.6090629994869ms
2024-08-23T15:18:19.987Z: 278.0073390007019ms
2024-08-23T15:18:20.252Z: 264.2445379793644ms
2024-08-23T15:18:20.533Z: 280.2287099957466ms
2024-08-23T15:18:20.835Z: 300.11954298615456ms
2024-08-23T15:18:21.156Z: 320.5289040207863ms
2024-08-23T15:18:21.416Z: 259.2538450062275ms
2024-08-23T15:18:21.706Z: 289.4315359890461ms
2024-08-23T15:20:31.591Z: 306.46501299738884ms
2024-08-23T15:20:31.911Z: 306.3317690193653ms
2024-08-23T15:20:32.234Z: 306.7689020037651ms
2024-08-23T15:20:32.664Z: 292.7158129811287ms
2024-08-23T15:20:32.961Z: 295.31291300058365ms
2024-08-23T15:20:33.283Z: 313.4396320283413ms
2024-08-23T15:20:33.579Z: 290.47340300679207ms
2024-08-23T15:20:33.868Z: 282.999902009964ms
2024-08-23T15:20:34.156Z: 287.40899899601936ms
2024-08-23T15:20:34.446Z: 287.132041990757ms
2024-08-23T15:20:34.825Z: 376.8351820111275ms
2024-08-23T15:20:35.101Z: 275.2484999895096ms
2024-08-23T15:20:35.387Z: 285.3784660100937ms
2024-08-23T15:20:35.700Z: 311.9755739867687ms
2024-08-23T15:20:35.994Z: 292.5399230122566ms
2024-08-23T15:20:36.292Z: 297.42291101813316ms
2024-08-23T15:20:36.581Z: 287.39340299367905ms
2024-08-23T15:20:36.858Z: 275.4687889814377ms
2024-08-23T15:20:37.171Z: 312.05288898944855ms
2024-08-23T15:20:39.060Z: 1887.3202499747276ms
2024-08-23T15:20:40.347Z: 1284.7054769992828ms
2024-08-23T15:20:40.691Z: 343.7084990143776ms
2024-08-23T15:20:41.009Z: 315.35597199201584ms
2024-08-23T15:20:41.315Z: 298.7723430097103ms
2024-08-23T15:20:41.609Z: 292.8384459912777ms
2024-08-23T15:20:41.890Z: 280.8009930253029ms
2024-08-23T15:20:42.196Z: 302.36792600154877ms
2024-08-23T15:20:42.488Z: 288.52690199017525ms
2024-08-23T15:20:42.789Z: 289.7262080013752ms
2024-08-23T15:20:43.087Z: 297.2968609929085ms
2024-08-23T15:24:47.259Z: 320.82827600836754ms
2024-08-23T15:24:47.570Z: 305.1740680038929ms
2024-08-23T15:24:47.877Z: 304.8579050004482ms
2024-08-23T15:24:49.719Z: 1838.3184939920902ms
2024-08-23T15:24:51.649Z: 1926.8982799947262ms
2024-08-23T15:24:52.692Z: 1041.3897379934788ms
2024-08-23T15:24:53.013Z: 319.09341901540756ms
2024-08-23T15:24:53.357Z: 342.73943600058556ms
2024-08-23T15:24:53.703Z: 345.6276929974556ms
2024-08-23T15:24:54.006Z: 300.89519798755646ms
2024-08-23T15:24:54.321Z: 314.14424499869347ms
2024-08-23T15:24:54.659Z: 336.28891798853874ms
2024-08-23T15:24:54.949Z: 289.9611519873142ms
2024-08-23T15:24:55.241Z: 290.16279101371765ms
2024-08-23T15:24:55.521Z: 279.55065700411797ms
2024-08-23T15:24:55.850Z: 320.124891012907ms
2024-08-23T15:24:56.221Z: 346.84824499487877ms
2024-08-23T15:24:56.540Z: 297.4704740047455ms
2024-08-23T15:24:56.846Z: 304.75438499450684ms
2024-08-23T15:24:57.150Z: 303.4256539940834ms
2024-08-23T15:24:57.446Z: 293.06956601142883ms
2024-08-23T15:24:57.750Z: 302.85866299271584ms
2024-08-23T15:24:58.032Z: 280.66081100702286ms
2024-08-23T15:24:59.887Z: 1853.9413840174675ms
2024-08-23T15:25:00.645Z: 756.5253470242023ms
2024-08-23T15:25:01.301Z: 654.2762979865074ms
2024-08-23T15:25:01.640Z: 338.70372000336647ms
2024-08-23T15:25:02.013Z: 371.1756849884987ms
2024-08-23T15:25:02.336Z: 322.50393998622894ms
2024-08-23T15:25:02.637Z: 300.30281099677086ms
