2024-08-23T15:09:46.845Z: 3252.1811460256577ms
2024-08-23T15:09:49.320Z: 2452.5642459988594ms
2024-08-23T15:09:51.820Z: 2499.2104730010033ms
2024-08-23T15:09:54.321Z: 2498.465045005083ms
2024-08-23T15:09:56.840Z: 2518.6634429991245ms
2024-08-23T15:09:59.521Z: 2680.0653540194035ms
2024-08-23T15:10:04.429Z: 4891.965629994869ms
2024-08-23T15:10:06.904Z: 2473.7069540023804ms
2024-08-23T15:10:09.832Z: 2927.1691739857197ms
2024-08-23T15:10:12.345Z: 2510.6532669961452ms
2024-08-23T15:10:14.876Z: 2521.652612000704ms
2024-08-23T15:10:17.464Z: 2575.8600690066814ms
2024-08-23T15:10:19.911Z: 2445.844781011343ms
2024-08-23T15:10:22.388Z: 2475.1751379966736ms
2024-08-23T15:10:24.913Z: 2524.4909830093384ms
2024-08-23T15:10:27.406Z: 2491.18432700634ms
2024-08-23T15:10:30.009Z: 2601.320631980896ms
2024-08-23T15:10:33.785Z: 3775.362767994404ms
2024-08-23T15:10:36.269Z: 2481.918944001198ms
2024-08-23T15:10:38.770Z: 2499.300953000784ms
2024-08-23T15:10:43.103Z: 4331.544711023569ms
2024-08-23T15:10:45.564Z: 2460.4246020019054ms
2024-08-23T15:10:48.069Z: 2503.210759997368ms
2024-08-23T15:10:50.543Z: 2471.5657389760017ms
2024-08-23T15:10:52.999Z: 2454.3282519876957ms
2024-08-23T15:10:55.570Z: 2567.5418980121613ms
2024-08-23T15:10:58.072Z: 2498.8407219946384ms
2024-08-23T15:11:01.823Z: 3749.014605998993ms
2024-08-23T15:11:04.767Z: 2943.009488016367ms
2024-08-23T15:11:09.189Z: 4420.5439719855785ms
2024-08-23T15:13:08.382Z: 2884.4263840019703ms
2024-08-23T15:13:12.385Z: 3999.2393029928207ms
2024-08-23T15:13:14.973Z: 2586.321657001972ms
2024-08-23T15:13:17.464Z: 2487.9885700047016ms
2024-08-23T15:13:20.095Z: 2625.2025810182095ms
2024-08-23T15:13:22.614Z: 2479.612845003605ms
2024-08-23T15:13:25.130Z: 2499.1132760047913ms
2024-08-23T15:13:27.572Z: 2439.8594539761543ms
2024-08-23T15:13:30.040Z: 2465.828826993704ms
2024-08-23T15:13:32.552Z: 2511.190971016884ms
2024-08-23T15:13:36.836Z: 4282.175677984953ms
2024-08-23T15:13:40.532Z: 3695.1467850208282ms
2024-08-23T15:13:43.278Z: 2742.4818840026855ms
2024-08-23T15:13:45.857Z: 2573.9011949896812ms
2024-08-23T15:13:48.362Z: 2502.3162569999695ms
2024-08-23T15:13:50.828Z: 2464.0311329960823ms
2024-08-23T15:13:53.337Z: 2506.7086210250854ms
2024-08-23T15:13:55.819Z: 2480.322923988104ms
2024-08-23T15:13:58.327Z: 2505.2590750157833ms
2024-08-23T15:14:00.867Z: 2538.692807018757ms
2024-08-23T15:14:03.696Z: 2827.8938550055027ms
2024-08-23T15:14:08.747Z: 5047.177439987659ms
2024-08-23T15:14:11.544Z: 2796.254673987627ms
2024-08-23T15:14:14.117Z: 2570.067952990532ms
2024-08-23T15:14:16.757Z: 2637.67453199625ms
2024-08-23T15:14:19.258Z: 2499.505917996168ms
2024-08-23T15:14:21.756Z: 2496.292340993881ms
2024-08-23T15:14:24.266Z: 2508.4046300053596ms
2024-08-23T15:14:26.814Z: 2544.090927004814ms
2024-08-23T15:14:29.324Z: 2507.5824380218983ms
2024-08-23T15:16:54.730Z: 3055.412766993046ms
2024-08-23T15:16:57.192Z: 2453.6146279871464ms
2024-08-23T15:16:59.699Z: 2505.073140978813ms
2024-08-23T15:17:02.200Z: 2500.060849994421ms
2024-08-23T15:17:06.251Z: 4048.467102020979ms
2024-08-23T15:17:08.743Z: 2490.910578995943ms
2024-08-23T15:17:11.254Z: 2509.473811984062ms
2024-08-23T15:17:13.766Z: 2509.9515230059624ms
2024-08-23T15:17:16.254Z: 2485.491753011942ms
2024-08-23T15:17:18.722Z: 2466.501194000244ms
2024-08-23T15:17:21.185Z: 2460.5143890082836ms
2024-08-23T15:17:23.663Z: 2476.545464992523ms
2024-08-23T15:17:26.491Z: 2826.3564299941063ms
2024-08-23T15:17:29.580Z: 3088.2079170048237ms
2024-08-23T15:17:32.102Z: 2518.3998669981956ms
2024-08-23T15:17:34.625Z: 2520.2626970112324ms
