2024-08-23T15:29:02.560Z: 58.91140499711037ms
2024-08-23T15:29:02.634Z: 70.07891499996185ms
2024-08-23T15:29:02.682Z: 47.438567996025085ms
2024-08-23T15:29:02.753Z: 67.21692299842834ms
2024-08-23T15:29:02.864Z: 101.28003799915314ms
2024-08-23T15:29:02.939Z: 67.63619101047516ms
2024-08-23T15:29:03.029Z: 87.93011298775673ms
2024-08-23T15:29:03.103Z: 73.57192301750183ms
2024-08-23T15:29:03.157Z: 50.04281601309776ms
2024-08-23T15:29:03.243Z: 79.74370500445366ms
2024-08-23T15:29:03.335Z: 82.92848500609398ms
2024-08-23T15:29:03.400Z: 60.797517001628876ms
2024-08-23T15:29:03.515Z: 110.91720500588417ms
2024-08-23T15:29:03.568Z: 50.995959997177124ms
2024-08-23T15:29:03.646Z: 77.14533799886703ms
2024-08-23T15:29:03.700Z: 47.67623099684715ms
2024-08-23T15:29:03.906Z: 196.48507797718048ms
2024-08-23T15:29:03.958Z: 47.85710400342941ms
2024-08-23T15:29:04.044Z: 85.16039499640465ms
2024-08-23T15:29:04.140Z: 94.26651400327682ms
2024-08-23T15:29:04.194Z: 50.77653297781944ms
2024-08-23T15:29:04.241Z: 45.93034100532532ms
2024-08-23T15:29:04.303Z: 61.376897007226944ms
2024-08-23T15:29:04.364Z: 60.64862701296806ms
2024-08-23T15:29:04.447Z: 81.81575897336006ms
2024-08-23T15:29:04.535Z: 85.06112402677536ms
2024-08-23T15:29:04.642Z: 106.7777310013771ms
2024-08-23T15:29:04.698Z: 54.0426119863987ms
2024-08-23T15:29:04.797Z: 94.38077798485756ms
2024-08-23T15:29:04.889Z: 90.78260600566864ms
2024-08-23T15:30:04.262Z: 75.23309400677681ms
2024-08-23T15:30:04.377Z: 112.3038059771061ms
2024-08-23T15:30:04.427Z: 49.69845998287201ms
2024-08-23T15:30:04.492Z: 64.16221499443054ms
2024-08-23T15:30:04.578Z: 85.14883199334145ms
2024-08-23T15:30:04.633Z: 53.54117500782013ms
2024-08-23T15:30:04.710Z: 76.59683001041412ms
2024-08-23T15:30:04.769Z: 58.44530901312828ms
2024-08-23T15:30:04.833Z: 62.571200996637344ms
2024-08-23T15:30:04.934Z: 99.54389998316765ms
2024-08-23T15:30:05.044Z: 86.17543402314186ms
2024-08-23T15:30:05.139Z: 75.59713697433472ms
2024-08-23T15:30:05.221Z: 67.05288800597191ms
2024-08-23T15:30:05.275Z: 50.49333098530769ms
2024-08-23T15:30:05.359Z: 82.42457699775696ms
2024-08-23T15:30:05.471Z: 96.5042240023613ms
2024-08-23T15:30:05.578Z: 83.93789798021317ms
2024-08-23T15:30:05.632Z: 48.57677999138832ms
2024-08-23T15:30:05.704Z: 67.01395797729492ms
2024-08-23T15:30:05.798Z: 87.55049401521683ms
2024-08-23T15:30:05.869Z: 62.451474994421005ms
2024-08-23T15:30:05.927Z: 56.2003889977932ms
2024-08-23T15:30:06.018Z: 86.23243397474289ms
2024-08-23T15:30:06.083Z: 62.49939000606537ms
2024-08-23T15:30:06.148Z: 57.60052999854088ms
2024-08-23T15:30:06.215Z: 64.7691400051117ms
2024-08-23T15:30:06.299Z: 75.04006198048592ms
2024-08-23T15:30:06.374Z: 66.71473199129105ms
2024-08-23T15:30:06.437Z: 56.20391598343849ms
2024-08-23T15:30:06.519Z: 80.4937549829483ms
2024-08-23T15:31:19.943Z: 85.98776200413704ms
2024-08-23T15:31:20.025Z: 80.24650898575783ms
2024-08-23T15:31:20.117Z: 91.18011200428009ms
2024-08-23T15:31:20.173Z: 48.45263600349426ms
2024-08-23T15:31:20.241Z: 65.45156198740005ms
2024-08-23T15:31:20.325Z: 81.85899901390076ms
2024-08-23T15:31:20.384Z: 51.84585300087929ms
2024-08-23T15:31:20.451Z: 55.49814200401306ms
2024-08-23T15:31:20.510Z: 57.09502798318863ms
2024-08-23T15:31:20.564Z: 52.55741399526596ms
2024-08-23T15:31:20.660Z: 91.0711530148983ms
2024-08-23T15:31:20.758Z: 94.77487999200821ms
2024-08-23T15:31:20.846Z: 86.89353901147842ms
2024-08-23T15:31:20.899Z: 51.52963298559189ms
2024-08-23T15:31:20.973Z: 72.4321900010109ms
2024-08-23T15:31:21.064Z: 89.49165898561478ms
2024-08-23T15:31:21.164Z: 98.90206098556519ms
2024-08-23T15:31:21.215Z: 48.23709499835968ms
2024-08-23T15:31:21.267Z: 51.60087502002716ms
2024-08-23T15:31:21.328Z: 59.21069598197937ms
2024-08-23T15:31:21.423Z: 88.33054900169373ms
2024-08-23T15:31:21.501Z: 76.9746650159359ms
2024-08-23T15:31:21.666Z: 140.9842420220375ms
2024-08-23T15:31:21.824Z: 147.3028350174427ms
2024-08-23T15:31:21.876Z: 50.013709992170334ms
2024-08-23T15:31:21.994Z: 113.19036999344826ms
2024-08-23T15:31:22.085Z: 75.7832790017128ms
2024-08-23T15:31:22.183Z: 84.94457802176476ms
2024-08-23T15:31:22.231Z: 47.43402698636055ms
2024-08-23T15:31:22.340Z: 105.30909901857376ms
2024-08-23T15:35:49.170Z: 90.07535499334335ms
2024-08-23T15:35:49.267Z: 87.39032301306725ms
2024-08-23T15:35:49.337Z: 50.4755440056324ms
2024-08-23T15:35:49.433Z: 90.83874398469925ms
2024-08-23T15:35:49.483Z: 49.112221002578735ms
2024-08-23T15:35:49.594Z: 105.95037198066711ms
2024-08-23T15:35:49.672Z: 73.91269502043724ms
2024-08-23T15:35:49.840Z: 131.08718198537827ms
2024-08-23T15:35:49.927Z: 70.5430100262165ms
2024-08-23T15:35:50.004Z: 76.44317001104355ms
2024-08-23T15:35:50.089Z: 83.84853199124336ms
2024-08-23T15:35:50.182Z: 87.06855699419975ms
2024-08-23T15:35:50.244Z: 55.97444301843643ms
2024-08-23T15:35:50.353Z: 97.7149809896946ms
2024-08-23T15:35:50.426Z: 49.86036202311516ms
2024-08-23T15:35:50.507Z: 76.23157501220703ms
2024-08-23T15:35:50.618Z: 97.900779992342ms
2024-08-23T15:35:50.707Z: 82.73195400834084ms
2024-08-23T15:35:50.790Z: 79.73074999451637ms
2024-08-23T15:35:50.874Z: 81.61943399906158ms
2024-08-23T15:35:50.965Z: 86.17262500524521ms
2024-08-23T15:35:51.057Z: 70.64620998501778ms
2024-08-23T15:35:51.133Z: 67.12256097793579ms
2024-08-23T15:35:51.210Z: 73.377739995718ms
2024-08-23T15:35:51.259Z: 48.30215901136398ms
2024-08-23T15:35:51.318Z: 57.266772001981735ms
2024-08-23T15:35:51.397Z: 76.38143000006676ms
2024-08-23T15:35:51.489Z: 90.5000509917736ms
2024-08-23T15:35:51.582Z: 91.5363059937954ms
2024-08-23T15:35:51.660Z: 66.58420100808144ms
2024-08-23T15:36:49.514Z: 48.8637510240078ms
2024-08-23T15:36:49.594Z: 76.61861500144005ms
2024-08-23T15:36:49.642Z: 47.22374400496483ms
2024-08-23T15:36:49.704Z: 60.725926011800766ms
2024-08-23T15:36:49.780Z: 75.0938829779625ms
2024-08-23T15:36:49.863Z: 80.90446901321411ms
2024-08-23T15:36:49.981Z: 117.53327000141144ms
2024-08-23T15:36:50.051Z: 63.22675400972366ms
2024-08-23T15:36:50.117Z: 65.16841000318527ms
2024-08-23T15:36:50.179Z: 60.66899001598358ms
2024-08-23T15:36:50.304Z: 110.08683201670647ms
2024-08-23T15:36:50.366Z: 61.76219400763512ms
2024-08-23T15:36:50.463Z: 95.70802599191666ms
2024-08-23T15:36:50.535Z: 70.71145302057266ms
2024-08-23T15:36:50.614Z: 76.48256599903107ms
2024-08-23T15:36:50.725Z: 109.37047699093819ms
2024-08-23T15:36:50.827Z: 100.3950600028038ms
2024-08-23T15:36:50.898Z: 69.51799201965332ms
2024-08-23T15:36:51.038Z: 94.94458997249603ms
2024-08-23T15:36:51.105Z: 65.93828698992729ms
2024-08-23T15:36:51.206Z: 89.90907499194145ms
2024-08-23T15:36:51.283Z: 62.07492598891258ms
2024-08-23T15:36:51.349Z: 60.66595900058746ms
2024-08-23T15:36:51.443Z: 92.65278097987175ms
2024-08-23T15:36:51.501Z: 56.60413497686386ms
2024-08-23T15:36:51.565Z: 62.17696398496628ms
2024-08-23T15:36:51.690Z: 117.20151400566101ms
2024-08-23T15:36:51.781Z: 87.51779299974442ms
2024-08-23T15:36:51.896Z: 99.67209601402283ms
2024-08-23T15:36:52.017Z: 110.90046802163124ms
