2024-08-23T15:29:00.047Z: 51.59953701496124ms
2024-08-23T15:29:00.101Z: 49.39154601097107ms
2024-08-23T15:29:00.186Z: 83.92424699664116ms
2024-08-23T15:29:00.277Z: 86.77573201060295ms
2024-08-23T15:29:00.337Z: 55.48809897899628ms
2024-08-23T15:29:00.398Z: 59.080379992723465ms
2024-08-23T15:29:00.490Z: 91.05097898840904ms
2024-08-23T15:29:00.581Z: 81.10230100154877ms
2024-08-23T15:29:00.655Z: 64.56078600883484ms
2024-08-23T15:29:00.711Z: 52.81316801905632ms
2024-08-23T15:29:00.783Z: 68.04764401912689ms
2024-08-23T15:29:00.839Z: 48.67195400595665ms
2024-08-23T15:29:00.910Z: 69.97263598442078ms
2024-08-23T15:29:00.995Z: 83.73459100723267ms
2024-08-23T15:29:01.062Z: 63.735667020082474ms
2024-08-23T15:29:01.161Z: 98.03843399882317ms
2024-08-23T15:29:01.373Z: 194.69690001010895ms
2024-08-23T15:29:01.422Z: 47.07193499803543ms
2024-08-23T15:29:01.514Z: 89.62805598974228ms
2024-08-23T15:29:01.566Z: 49.664506018161774ms
2024-08-23T15:29:01.682Z: 113.19591298699379ms
2024-08-23T15:29:01.805Z: 94.64422300457954ms
2024-08-23T15:29:01.933Z: 125.94914701581001ms
2024-08-23T15:29:02.027Z: 92.70539399981499ms
2024-08-23T15:29:02.100Z: 62.35093501210213ms
2024-08-23T15:29:02.198Z: 95.3572329878807ms
2024-08-23T15:29:02.294Z: 82.21328899264336ms
2024-08-23T15:29:02.345Z: 47.42134100198746ms
2024-08-23T15:29:02.412Z: 66.22551199793816ms
2024-08-23T15:29:02.496Z: 83.66523098945618ms
2024-08-23T15:30:01.836Z: 93.77844798564911ms
2024-08-23T15:30:01.971Z: 132.761313021183ms
2024-08-23T15:30:02.024Z: 51.53192800283432ms
2024-08-23T15:30:02.110Z: 84.17416098713875ms
2024-08-23T15:30:02.162Z: 50.0147500038147ms
2024-08-23T15:30:02.227Z: 64.2858569920063ms
2024-08-23T15:30:02.314Z: 85.35668900609016ms
2024-08-23T15:30:02.400Z: 80.1787919998169ms
