2024-08-23T15:28:50.843Z: 1120.9628509879112ms
2024-08-23T15:28:51.306Z: 459.1946069896221ms
2024-08-23T15:28:51.564Z: 255.71656501293182ms
2024-08-23T15:28:51.810Z: 243.72815200686455ms
2024-08-23T15:28:52.075Z: 264.2871380150318ms
2024-08-23T15:28:52.529Z: 451.7730570137501ms
2024-08-23T15:28:52.800Z: 270.63767701387405ms
2024-08-23T15:28:53.092Z: 290.3064320087433ms
2024-08-23T15:28:53.461Z: 359.45702999830246ms
2024-08-23T15:28:53.759Z: 290.84417101740837ms
2024-08-23T15:28:54.154Z: 343.9838909804821ms
2024-08-23T15:28:54.450Z: 289.6685080230236ms
2024-08-23T15:28:54.802Z: 349.6075990200043ms
2024-08-23T15:28:55.052Z: 249.83717900514603ms
2024-08-23T15:28:55.317Z: 262.64368000626564ms
2024-08-23T15:28:55.789Z: 455.4077279865742ms
2024-08-23T15:28:56.081Z: 289.5808529853821ms
2024-08-23T15:28:56.367Z: 281.99581399559975ms
2024-08-23T15:28:56.634Z: 265.45670598745346ms
2024-08-23T15:28:56.901Z: 266.1678169965744ms
2024-08-23T15:28:57.158Z: 255.57709300518036ms
2024-08-23T15:28:57.435Z: 275.6199799776077ms
2024-08-23T15:28:57.951Z: 514.8729149997234ms
2024-08-23T15:28:58.325Z: 370.0847589969635ms
2024-08-23T15:28:58.602Z: 275.6192660033703ms
2024-08-23T15:28:58.895Z: 289.9166610240936ms
2024-08-23T15:28:59.170Z: 273.4323759973049ms
2024-08-23T15:28:59.442Z: 271.0805189907551ms
2024-08-23T15:28:59.733Z: 287.57416900992393ms
2024-08-23T15:28:59.991Z: 256.9667600095272ms
2024-08-23T15:29:53.127Z: 727.396566003561ms
2024-08-23T15:29:53.570Z: 438.93013098835945ms
2024-08-23T15:29:53.819Z: 247.78862097859383ms
2024-08-23T15:29:54.081Z: 260.52709701657295ms
2024-08-23T15:29:54.331Z: 248.14289498329163ms
2024-08-23T15:29:54.630Z: 295.77182498574257ms
2024-08-23T15:29:55.065Z: 432.97046998143196ms
2024-08-23T15:29:55.322Z: 255.3247950077057ms
2024-08-23T15:29:55.775Z: 450.8507750034332ms
2024-08-23T15:29:56.088Z: 311.8988170027733ms
2024-08-23T15:29:56.371Z: 279.87363597750664ms
